"full_name","pdes","a","e","i","om","w","ma","epoch_mjd"
"   130 Elektra (A873 DA)",130,3.126029810120427,.2096674231569869,22.77754751760893,144.9889231523324,237.74770581772,230.8769014263544,60200
"   131 Vala (A873 KA)",131,2.430873192588877,.06907231764281886,4.963564724131763,65.55925652010562,161.718007925809,243.8659765166123,60200
"   132 Aethra (A873 LA)",132,2.613063373757849,.3871398228231697,24.97312705901773,258.0662136578718,255.5322069902164,286.386903003308,60200
"   133 Cyrene (A873 QA)",133,3.062698333394031,.1342962292585047,7.213471573565085,318.9925943355931,290.3603006406247,73.36932017620907,60200
"   134 Sophrosyne (A873 SA)",134,2.564053560664148,.1148969370104701,11.61088372601693,345.8581025431835,85.51178781142363,133.403482262176,60200
"   135 Hertha (A874 DA)",135,2.428692657704244,.2072010605855721,2.303190038035914,343.5554540909812,340.4412058123915,34.51441449132363,60200
"   136 Austria (A874 FA)",136,2.286828305155798,.08439445393706671,9.580669233801435,186.4021912451151,132.7275195777254,313.0893008775639,60200
"   137 Meliboea (A874 HA)",137,3.124398829141129,.2113280311959024,13.43163595988199,202.1734062242188,107.6349968614052,324.2715217557781,60200
"   138 Tolosa (A874 KA)",138,2.449481769009008,.1618841934823007,3.202215819877844,54.72200482847658,260.6449089920085,297.1262778923208,60200
"   139 Juewa (A874 TA)",139,2.788971724398659,.1704642252427615,10.87948400887403,1.749357243328799,166.69385091,250.9381017846168,60200
"   140 Siwa (A874 TB)",140,2.73470778935889,.2143751363577135,3.185200594095841,107.1576811673009,197.1259046894996,47.02750463000159,60200
"   141 Lumen (A875 AA)",141,2.666698149862532,.2134554950671382,11.89535593379335,318.4677774703205,57.78616530244515,161.6891931353796,60200
"   142 Polana (A875 BA)",142,2.418401955359495,.134212871416257,2.238973476001151,291.2061391011269,291.7368653695473,102.5538538716584,60200
"   143 Adria (A875 DA)",143,2.760625286082272,.07313726576367212,11.44396725759482,332.9632846692795,251.9896208687222,65.2093764136517,60200
"   144 Vibilia (A875 LA)",144,2.655086817767894,.2359788054878171,4.815206873059488,76.16492126151846,294.6547925753541,11.91733757986008,60200
"   145 Adeona (A875 LB)",145,2.672314910941191,.1468195044169543,12.62058619500657,77.32423170764405,45.22318078595782,98.78147723500958,60200
"   146 Lucina (A875 LC)",146,2.717898896934158,.06605908487415975,13.09963342350505,83.93012354451476,145.3611437484635,51.52345826765689,60200
"   147 Protogeneia (A875 NA)",147,3.137248900824675,.02266457253525106,1.932526894745713,248.2182976636136,103.1952487498996,191.7169395818377,60200
